Player,Bat1,Bat2,Runs,BF,SR,4s,6s,,Ground,Start Date,temp,humidity,windspeed,conditions,format,opposition
AK Markram,97,15,112,178,62.92,15,0,,Potchefstroom,28-Sep-17,65.9,47.9,16.6,Clear,Test,Bangladesh
AK Markram,143,-,143,186,76.88,22,0,,Bloemfontein,6-Oct-17,59.9,56.3,11.4,Clear,Test,Bangladesh
AK Markram,66,-,66,60,110,4,2,,East London,22-Oct-17,69.5,76.7,15.9,Clear,ODI,Bangladesh
AK Markram,125,-,125,204,61.27,14,2,,Gqeberha,26-Dec-17,65.9,65.3,16.1,Partially cloudy,Test,Zimbabwe
AK Markram,5,34,39,54,72.22,8,0,,Cape Town,5-Jan-18,70.3,70.5,27.7,Partially cloudy,Test,India
AK Markram,94,1,95,158,60.12,15,0,,Centurion,13-Jan-18,78.9,74.3,12.5,"Rain, Partially cloudy",Test,India
AK Markram,2,4,6,15,40,1,0,,Johannesburg,24-Jan-18,67.6,70.8,13.9,"Rain, Partially cloudy",Test,India
AK Markram,9,-,9,21,42.85,0,0,,Durban,1-Feb-18,71.7,79.5,12.8,"Rain, Partially cloudy",ODI,India
AK Markram,8,-,8,11,72.72,1,0,,Centurion,4-Feb-18,73,70.6,13.4,Partially cloudy,ODI,India
AK Markram,32,-,32,42,76.19,2,1,,Cape Town,7-Feb-18,74.5,59.2,18.3,Partially cloudy,ODI,India
AK Markram,22,-,22,23,95.65,3,0,,Johannesburg,10-Feb-18,69.4,68.1,9.5,"Rain, Partially cloudy",ODI,India
AK Markram,32,-,32,32,100,4,1,,Gqeberha,13-Feb-18,68.8,87.3,20,"Rain, Overcast",ODI,India
AK Markram,24,-,24,30,80,3,1,,Centurion,16-Feb-18,73,71.5,15.5,Partially cloudy,ODI,India
AK Markram,32,143,175,277,63.17,25,0,,Durban,1-Mar-18,73.1,80.6,12.8,"Rain, Partially cloudy",Test,Australia
AK Markram,11,21,32,49,65.3,4,0,,Gqeberha,9-Mar-18,64.1,79.4,20.8,"Rain, Partially cloudy",Test,Australia
AK Markram,0,84,84,156,53.84,10,2,,Cape Town,22-Mar-18,71.1,51,18.3,Clear,Test,Australia
AK Markram,152,37,189,272,69.48,21,1,,Johannesburg,30-Mar-18,67.6,69.8,16.1,"Rain, Partially cloudy",Test,Australia
AK Markram,0,19,19,53,35.84,0,0,,Galle,12-Jul-18,63.1,74.7,12.9,"Rain, Partially cloudy",Test,Sri Lanka
AK Markram,7,14,21,44,47.72,3,0,,Colombo (SSC),20-Jul-18,N/A,N/A,N/A,N/A,Test,Sri Lanka
AK Markram,0,-,0,1,0,0,0,,Dambulla,29-Jul-18,78.1,80.8,18.8,Partially cloudy,ODI,Sri Lanka
AK Markram,3,-,3,11,27.27,0,0,,Dambulla,1-Aug-18,78.2,80.2,17.4,"Rain, Partially cloudy",ODI,Sri Lanka
AK Markram,20,-,20,13,153.84,5,0,,Colombo (RPS),12-Aug-18,55.6,83.1,8.5,Partially cloudy,ODI,Sri Lanka
AK Markram,27,-,27,38,71.05,5,0,,Kimberley,30-Sep-18,73.9,35.8,26.4,Clear,ODI,Zimbabwe
AK Markram,35,-,35,49,71.42,6,0,,Bloemfontein,3-Oct-18,54.2,44,24.2,Partially cloudy,ODI,Zimbabwe
AK Markram,42,-,42,40,105,7,0,,Paarl,6-Oct-18,70,62.8,22.8,Clear,ODI,Zimbabwe
AK Markram,36,-,36,32,112.5,6,0,,Perth,4-Nov-18,63,67.1,18.8,Partially cloudy,ODI,Australia
AK Markram,19,-,19,17,111.76,2,1,,Adelaide,9-Nov-18,59.6,49.9,12.8,Partially cloudy,ODI,Australia
AK Markram,32,-,32,42,76.19,1,3,,Hobart,11-Nov-18,57,63.4,17.6,Partially cloudy,ODI,Australia
AK Markram,12,0,12,21,57.14,3,0,,Centurion,26-Dec-18,74,79.1,14.4,Partially cloudy,Test,Pakistan
AK Markram,78,DNB,78,96,81.25,14,1,,Cape Town,3-Jan-19,74.2,50,17.2,Clear,Test,Pakistan
AK Markram,90,21,111,149,74.49,20,0,,Johannesburg,11-Jan-19,74.7,60.2,15.5,"Rain, Partially cloudy",Test,Pakistan
AK Markram,11,28,39,58,67.24,4,0,,Durban,13-Feb-19,77.2,80.9,15,"Rain, Partially cloudy",Test,Sri Lanka
AK Markram,60,18,78,143,54.54,12,0,,Gqeberha,21-Feb-19,70.8,80.7,15,Partially cloudy,Test,Sri Lanka
AK Markram,29,-,29,32,90.62,3,0,,Gqeberha,13-Mar-19,69.4,81.2,23,Partially cloudy,ODI,Sri Lanka
AK Markram,67*,-,67,75,89.33,7,0,,Cape Town,16-Mar-19,68.8,73.2,11.4,Partially cloudy,ODI,Sri Lanka
AK Markram,3,-,3,5,60,0,0,,Centurion,22-Mar-19,63.3,77.1,10.5,Partially cloudy,T20I,Sri Lanka
AK Markram,15,-,15,12,125,1,1,,Johannesburg,24-Mar-19,67.9,61.7,13.7,"Rain, Partially cloudy",T20I,Sri Lanka
AK Markram,11,-,11,12,91.66,2,0,,The Oval,30-May-19,63.8,40.6,18.3,Partially cloudy,ODI,England
AK Markram,45,-,45,56,80.35,4,0,,The Oval,2-Jun-19,60.4,31.9,12.3,Clear,ODI,Bangladesh
AK Markram,5,-,5,10,50,1,0,,Southampton,10-Jun-19,51,89.4,11.2,"Rain, Overcast",ODI,West Indies
AK Markram,DNB,-,-,-,-,-,-,,Cardiff,15-Jun-19,55.2,80.5,13.6,"Rain, Partially cloudy",ODI,Afghanistan
AK Markram,38,-,38,55,69.09,4,0,,Birmingham,19-Jun-19,60.2,77.9,8.1,"Rain, Partially cloudy",ODI,New Zealand
AK Markram,7,-,7,16,43.75,0,0,,Lord's,23-Jun-19,42,88.6,12.8,"Rain, Partially cloudy",ODI,Pakistan
AK Markram,DNB,-,-,-,-,-,-,,Chester-le-Street,28-Jun-19,58.1,80.3,12.8,Partially cloudy,ODI,Sri Lanka
AK Markram,34,-,34,37,91.89,6,1,,Manchester,6-Jul-19,59.2,81.6,11.4,"Rain, Partially cloudy",ODI,Australia
AK Markram,5,39,44,95,46.31,6,1,,Visakhapatnam,2-Oct-19,82.4,85.5,14.1,"Rain, Partially cloudy",Test,India
AK Markram,0,0,0,4,0,0,0,,Pune,10-Oct-19,75.3,86.1,8.9,"Rain, Partially cloudy",Test,India
AK Markram,20,2,22,28,78.57,4,0,,Centurion,26-Dec-19,72,88.3,7.6,"Rain, Partially cloudy",Test,England
AK Markram,68,-,68,94,72.34,14,0,,Centurion,26-Dec-20,74.6,71.9,23,Partially cloudy,Test,Sri Lanka
AK Markram,5,36*,41,74,55.4,4,0,,Johannesburg,3-Jan-21,67,65,12.8,Partially cloudy,Test,Sri Lanka
AK Markram,13,74,87,240,36.25,13,0,,Karachi,26-Jan-21,62.8,48.3,9.2,Clear,Test,Pakistan
AK Markram,32,108,140,303,46.2,18,3,,Rawalpindi,4-Feb-21,50.6,67.4,8.9,"Rain, Partially cloudy",Test,Pakistan
AK Markram,19,-,19,23,82.6,3,1,,Centurion,2-Apr-21,65.7,80.1,9.2,Partially cloudy,ODI,Pakistan
AK Markram,39,-,39,34,114.7,4,2,,Johannesburg,4-Apr-21,64.1,73,11.2,Partially cloudy,ODI,Pakistan
AK Markram,18,-,18,21,85.71,2,1,,Centurion,7-Apr-21,71.5,80.1,9.4,Partially cloudy,ODI,Pakistan
AK Markram,51,-,51,32,159.37,8,1,,Johannesburg,10-Apr-21,69.4,50.4,8.5,Clear,T20I,Pakistan
AK Markram,54,-,54,30,180,7,3,,Johannesburg,12-Apr-21,69.5,39,16,Clear,T20I,Pakistan
AK Markram,63,-,63,31,203.22,6,4,,Centurion,14-Apr-21,62.7,83.4,13.9,Clear,T20I,Pakistan
AK Markram,11,-,11,5,220,1,1,,Centurion,16-Apr-21,69.4,90.2,7.2,"Rain, Partially cloudy",T20I,Pakistan
AK Markram,60,-,60,110,54.54,7,0,,Gros Islet,10-Jun-21,62.5,42.3,12.9,Clear,Test,West Indies
AK Markram,0,4,4,6,66.66,1,0,,Gros Islet,18-Jun-21,63.2,68.2,14.1,Clear,Test,West Indies
AK Markram,23,-,23,18,127.77,1,1,,St George's,29-Jun-21,74.2,76.8,6.2,"Rain, Partially cloudy",T20I,West Indies
AK Markram,20,-,20,20,100,2,0,,St George's,1-Jul-21,62.8,84.1,6,"Rain, Partially cloudy",T20I,West Indies
AK Markram,70,-,70,48,145.83,3,4,,St George's,3-Jul-21,55.8,77.8,8.2,Clear,T20I,West Indies
AK Markram,TDNB,-,-,-,-,-,-,,Dublin (Malahide),11-Jul-21,58,90.8,13.4,"Rain, Partially cloudy",ODI,Ireland
AK Markram,5,-,5,13,38.46,1,0,,Dublin (Malahide),13-Jul-21,60.3,85.7,13.3,"Rain, Partially cloudy",ODI,Ireland
AK Markram,39,-,39,30,130,2,2,,Dublin (Malahide),19-Jul-21,65.5,82,11.3,Partially cloudy,T20I,Ireland
AK Markram,8,-,8,6,133.33,1,0,,Belfast,22-Jul-21,70.8,72.6,12.7,Clear,T20I,Ireland
AK Markram,DNB,-,-,-,-,-,-,,Belfast,24-Jul-21,66.5,71.2,14.5,Partially cloudy,T20I,Ireland
AK Markram,96,-,96,90,106.66,5,4,,Colombo (RPS),2-Sep-21,68.1,63.5,12.5,Partially cloudy,ODI,Sri Lanka
