Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Ground,Start Date,temp,humidity,windspeed,conditions,format,opposition
AU Rashid,4,0,36,1,9,36,24,Lord's,5 Jun 2009,46.7,93.4,11.3,"Rain, Overcast",T20I,Netherlands
AU Rashid,4,0,24,0,6,-,-,The Oval,7 Jun 2009,51.3,78.5,9.2,"Rain, Partially cloudy",T20I,Pakistan
AU Rashid,4,0,24,1,6,24,24,Nottingham,11 Jun 2009,54.7,71.8,14,"Rain, Partially cloudy",T20I,South Africa
AU Rashid,1,0,11,1,11,11,6,The Oval,15 Jun 2009,54.9,75.9,8.6,Partially cloudy,T20I,West Indies
AU Rashid,4,0,16,1,4,16,24,Belfast,27 Aug 2009,55,84.8,22.9,"Rain, Partially cloudy",ODI,Ireland
AU Rashid,10,0,37,0,3.7,-,-,The Oval,4 Sep 2009,56,64,17.9,"Rain, Partially cloudy",ODI,Australia
AU Rashid,10,0,56,1,5.6,56,60,Lord's,12 Sep 2009,62.4,32.4,36.2,Partially cloudy,ODI,Australia
AU Rashid,7,0,55,1,7.85,55,42,Nottingham,15 Sep 2009,57.4,82.8,14.8,Partially cloudy,ODI,Australia
AU Rashid,1,0,25,0,25,-,-,Centurion,15 Nov 2009,67.5,79,10.3,Partially cloudy,T20I,South Africa
AU Rashid,3,0,27,0,9,-,-,Centurion,22 Nov 2009,74.6,83.1,6.9,"Rain, Partially cloudy",ODI,South Africa
AU Rashid,-,-,-,-,-,-,-,Dublin (Malahide),8 May 2015,45.2,93.5,17,"Rain, Partially cloudy",ODI,Ireland
AU Rashid,10,0,55,4,5.5,13.75,15,Birmingham,9 Jun 2015,50.3,65.7,13.7,"Rain, Partially cloudy",ODI,New Zealand
AU Rashid,10,0,72,0,7.2,-,-,The Oval,12 Jun 2015,60.8,76.3,14.2,"Rain, Partially cloudy",ODI,New Zealand
AU Rashid,10,0,72,1,7.2,72,60,Southampton,14 Jun 2015,58.6,76.6,10.4,Partially cloudy,ODI,New Zealand
AU Rashid,8,0,75,1,9.37,75,48,Nottingham,17 Jun 2015,61.3,82,15,"Rain, Partially cloudy",ODI,New Zealand
AU Rashid,10,0,45,2,4.5,22.5,30,Chester-le-Street,20 Jun 2015,55.5,89.2,10.8,"Rain, Partially cloudy",ODI,New Zealand
AU Rashid,4,0,33,1,8.25,33,24,Manchester,23 Jun 2015,56.7,73.8,8.5,"Rain, Partially cloudy",T20I,New Zealand
AU Rashid,3,0,32,0,10.66,-,-,Cardiff,31 Aug 2015,58.8,88.2,9.7,"Rain, Partially cloudy",T20I,Australia
AU Rashid,10,0,59,4,5.9,14.75,15,Southampton,3 Sep 2015,54.2,76.1,10.7,"Rain, Partially cloudy",ODI,Australia
AU Rashid,7,0,44,1,6.28,44,42,Lord's,5 Sep 2015,44.4,80.7,16.9,"Rain, Partially cloudy",ODI,Australia
AU Rashid,10,1,41,2,4.1,20.5,30,Manchester,8 Sep 2015,51.4,88.5,7.6,"Rain, Partially cloudy",ODI,Australia
AU Rashid,10,0,63,0,6.3,-,-,Leeds,11 Sep 2015,56.3,82.8,10,Partially cloudy,ODI,Australia
AU Rashid,4,0,34,0,8.5,-,-,Manchester,13 Sep 2015,53.9,80.4,8.5,"Rain, Partially cloudy",ODI,Australia
AU Rashid,52.5,3,227,5,4.29,45.4,63.4,Abu Dhabi,13 Oct 2015,88.7,59.6,11.3,Clear,Test,Pakistan
AU Rashid,45,2,191,2,4.24,95.5,135,Dubai (DSC),22 Oct 2015,N/A,N/A,N/A,N/A,Test,Pakistan
AU Rashid,39,4,138,1,3.53,138,234,Sharjah,1 Nov 2015,82.3,48.7,13.8,Clear,Test,Pakistan
AU Rashid,9,0,60,0,6.66,-,-,Abu Dhabi,11 Nov 2015,87.4,29.8,16.5,Clear,ODI,Pakistan
AU Rashid,10,0,32,1,3.2,32,60,Abu Dhabi,13 Nov 2015,79.3,51.9,15.2,Partially cloudy,ODI,Pakistan
AU Rashid,10,1,51,0,5.1,-,-,Sharjah,17 Nov 2015,78.7,38.7,12.5,Partially cloudy,ODI,Pakistan
AU Rashid,10,0,78,3,7.8,26,20,Dubai (DSC),20 Nov 2015,N/A,N/A,N/A,N/A,ODI,Pakistan
AU Rashid,-,-,-,-,-,-,-,Dubai (DSC),26 Nov 2015,N/A,N/A,N/A,N/A,T20I,Pakistan
AU Rashid,4,0,18,2,4.5,9,12,Dubai (DSC),27 Nov 2015,N/A,N/A,N/A,N/A,T20I,Pakistan
AU Rashid,4,0,29,1,7.25,29,24,Sharjah,30 Nov 2015,78,61.4,11.4,Clear,T20I,Pakistan
AU Rashid,6,0,42,0,7,-,-,Bloemfontein,3 Feb 2016,77.8,47.6,25.3,Partially cloudy,ODI,South Africa
AU Rashid,10,0,43,1,4.3,43,60,Gqeberha,6 Feb 2016,70,70.7,30,Clear,ODI,South Africa
