Player,Bat1,Bat2,Runs,BF,SR,4s,6s,,Opposition,Ground,Start Date,temp,humidity,windspeed
Combined Test,12,-,12,22,54.54,1,0,,ODI v Sri Lanka,Dambulla,18 Aug 2008,81.2,75.3,4.1
Combined Test,37,-,37,67,55.22,6,0,,ODI v Sri Lanka,Dambulla,20 Aug 2008,82.0,74.5,4.3
Combined Test,25,-,25,38,65.78,4,0,,ODI v Sri Lanka,Colombo (RPS),24 Aug 2008,,,
Combined Test,54,-,54,66,81.81,7,0,,ODI v Sri Lanka,Colombo (RPS),27 Aug 2008,68.1,64.1,9.2
Combined Test,31,-,31,46,67.39,3,1,,ODI v Sri Lanka,Colombo (RPS),29 Aug 2008,43.8,77.4,16.1
Combined Test,2*,-,2,2,100.00,0,0,,ODI v Sri Lanka,Colombo (RPS),14 Sep 2009,,,
Combined Test,16,-,16,24,66.66,1,0,,ODI v Pakistan,Centurion,26 Sep 2009,64.7,73.9,5.8
Combined Test,TDNB,-,-,-,-,-,-,,ODI v Australia,Centurion,28 Sep 2009,51.5,66.3,16.1
Combined Test,79*,-,79,104,75.96,9,2,,ODI v West Indies,Johannesburg,30 Sep 2009,57.5,71.6,6.5
Combined Test,30,-,30,41,73.17,3,0,,ODI v Australia,Vadodara,25 Oct 2009,,,
Combined Test,10,-,10,16,62.50,1,0,,ODI v Australia,Mohali,2 Nov 2009,71.7,76.5,3.4
Combined Test,27,-,27,19,142.10,4,0,,ODI v Sri Lanka,Rajkot,15 Dec 2009,74.2,47.4,6.9
Combined Test,54,-,54,65,83.07,7,0,,ODI v Sri Lanka,Nagpur,18 Dec 2009,69.7,81.4,5.8
Combined Test,107,-,107,114,93.85,11,1,,ODI v Sri Lanka,Eden Gardens,24 Dec 2009,82.9,66.6,7.0
Combined Test,TDNB,-,-,-,-,-,-,,ODI v Sri Lanka,Delhi,27 Dec 2009,55.3,69.3,5.8
Combined Test,9,-,9,12,75.00,1,0,,ODI v Sri Lanka,Mirpur,5 Jan 2010,59.0,72.8,9.2
Combined Test,91,-,91,102,89.21,7,0,,ODI v Bangladesh,Mirpur,7 Jan 2010,60.8,72.8,10.5
Combined Test,71*,-,71,68,104.41,9,0,,ODI v Sri Lanka,Mirpur,10 Jan 2010,60.6,63.4,9.4
Combined Test,102*,-,102,95,107.36,11,0,,ODI v Bangladesh,Mirpur,11 Jan 2010,60.4,59.3,10.1
Combined Test,2,-,2,8,25.00,0,0,,ODI v Sri Lanka,Mirpur,13 Jan 2010,60.9,61.6,6.9
Combined Test,31,-,31,46,67.39,1,0,,ODI v South Africa,Jaipur,21 Feb 2010,71.4,33.3,8.1
Combined Test,DNB,-,-,-,-,-,-,,ODI v South Africa,Gwalior,24 Feb 2010,70.4,54.7,6.5
Combined Test,57,-,57,71,80.28,4,1,,ODI v South Africa,Ahmedabad,27 Feb 2010,78.8,36.1,9.2
Combined Test,0,-,0,0,-,0,0,,ODI v Zimbabwe,Bulawayo,28 May 2010,64.4,47.2,13.9
Combined Test,82,-,82,92,89.13,4,0,,ODI v Sri Lanka,Bulawayo,30 May 2010,59.0,81.7,17.9
Combined Test,18,-,18,29,62.06,1,0,,ODI v Zimbabwe,Harare,3 Jun 2010,53.9,61.1,12.8
Combined Test,68,-,68,95,71.57,5,0,,ODI v Sri Lanka,Harare,5 Jun 2010,56.3,54.1,9.6
Combined Test,26*,-,26,21,123.80,3,1,,T20I v Zimbabwe,Harare,12 Jun 2010,60.5,72.4,12.8
Combined Test,DNB,-,-,-,-,-,-,,T20I v Zimbabwe,Harare,13 Jun 2010,61.7,65.9,20.1
Combined Test,11,-,11,22,50.00,0,0,,ODI v Bangladesh,Dambulla,16 Jun 2010,78.6,84.8,8.1
Combined Test,18,-,18,27,66.66,1,0,,ODI v Pakistan,Dambulla,19 Jun 2010,79.0,81.5,12.8
Combined Test,10,-,10,14,71.42,1,0,,ODI v Sri Lanka,Dambulla,22 Jun 2010,79.2,82.9,19.9
Combined Test,28,-,28,34,82.35,4,0,,ODI v Sri Lanka,Dambulla,24 Jun 2010,78.5,82.0,20.4
Combined Test,0,-,0,3,0.00,0,0,,ODI v Sri Lanka,Dambulla,16 Aug 2010,77.3,83.0,21.3
Combined Test,8,-,8,16,50.00,1,0,,ODI v New Zealand,Dambulla,25 Aug 2010,76.9,83.8,21.7
Combined Test,37,-,37,57,64.91,5,0,,ODI v Sri Lanka,Dambulla,28 Aug 2010,77.4,84.6,17.9
Combined Test,118,-,118,121,97.52,11,1,,ODI v Australia,Visakhapatnam,20 Oct 2010,83.0,80.8,10.1
Combined Test,105,-,105,104,100.96,10,0,,ODI v New Zealand,Guwahati,28 Nov 2010,64.0,88.8,5.8
Combined Test,64,-,64,73,87.67,8,0,,ODI v New Zealand,Jaipur,1 Dec 2010,61.5,54.4,9.2
Combined Test,63*,-,63,70,90.00,6,2,,ODI v New Zealand,Vadodara,4 Dec 2010,73.7,75.0,6.7
Combined Test,0,-,0,2,0.00,0,0,,ODI v New Zealand,Bengaluru,7 Dec 2010,67.6,83.5,8.1
Combined Test,2,-,2,8,25.00,0,0,,ODI v New Zealand,Chennai,10 Dec 2010,79.1,92.4,8.1
Combined Test,28,-,28,19,147.36,5,0,,T20I v South Africa,Durban,9 Jan 2011,76.4,86.4,13.9
Combined Test,54,-,54,70,77.14,2,1,,ODI v South Africa,Durban,12 Jan 2011,73.9,81.5,13.9
Combined Test,22,-,22,34,64.70,1,0,,ODI v South Africa,Johannesburg,15 Jan 2011,68.1,74.4,8.8
Combined Test,28,-,28,41,68.29,5,0,,ODI v South Africa,Cape Town,18 Jan 2011,70.8,72.5,21.7
Combined Test,87*,-,87,92,94.56,7,2,,ODI v South Africa,Gqeberha,21 Jan 2011,67.8,77.1,30.0
Combined Test,2,-,2,6,33.33,0,0,,ODI v South Africa,Centurion,23 Jan 2011,77.4,68.3,11.4
Combined Test,100*,-,100,83,120.48,8,2,,ODI v Bangladesh,Mirpur,19 Feb 2011,74.5,58.7,4.9
Combined Test,8,-,8,5,160.00,1,0,,ODI v England,Bengaluru,27 Feb 2011,73.6,57.0,11.4
Combined Test,34,-,34,53,64.15,3,0,,ODI v Ireland,Bengaluru,6 Mar 2011,74.7,39.0,15.0
Combined Test,12,-,12,20,60.00,2,0,,ODI v Netherlands,Delhi,9 Mar 2011,69.4,60.8,12.5
Combined Test,1,-,1,3,33.33,0,0,,ODI v South Africa,Nagpur,12 Mar 2011,81.4,34.0,27.5
Combined Test,59,-,59,76,77.63,5,0,,ODI v West Indies,Chennai,20 Mar 2011,81.3,79.1,13.9
Combined Test,24,-,24,33,72.72,1,0,,ODI v Australia,Ahmedabad,24 Mar 2011,86.2,37.2,9.2
Combined Test,9,-,9,21,42.85,0,0,,ODI v Pakistan,Mohali,30 Mar 2011,75.6,50.9,8.7
Combined Test,35,-,35,49,71.42,4,0,,ODI v Sri Lanka,Wankhede,2 Apr 2011,N/A,N/A,N/A
Combined Test,14,-,14,12,116.66,2,0,,T20I v West Indies,Port of Spain,4 Jun 2011,79.3,89.9,11.4
Combined Test,2,-,2,8,25.00,0,0,,ODI v West Indies,Port of Spain,6 Jun 2011,83.0,81.0,16.1
Combined Test,81,-,81,103,78.64,6,1,,ODI v West Indies,Port of Spain,8 Jun 2011,84.0,81.3,16.1
Combined Test,0,-,0,1,0.00,0,0,,ODI v West Indies,North Sound,11 Jun 2011,80.7,67.5,13.8
Combined Test,22,-,22,33,66.66,1,0,,ODI v West Indies,North Sound,13 Jun 2011,78.0,64.7,13.0
Combined Test,94,-,94,104,90.38,10,0,,ODI v West Indies,Kingston,16 Jun 2011,82.5,67.7,25.3
Combined Test,4,15,19,64,29.68,3,0,,Test v West Indies,Kingston,20 Jun 2011,81.8,63.0,21.9
Combined Test,0,27,27,109,24.77,1,1,,Test v West Indies,Bridgetown,28 Jun 2011,83.0,84.5,23.0
Combined Test,30,DNB,30,53,56.60,2,0,,Test v West Indies,Roseau,6 Jul 2011,82.1,75.3,23.0
Combined Test,4,-,4,5,80.00,0,0,,T20I v England,Manchester,31 Aug 2011,54.0,84.0,5.6
Combined Test,55,-,55,73,75.34,4,0,,ODI v England,Chester-le-Street,3 Sep 2011,59.7,88.2,10.5
Combined Test,9,-,9,9,100.00,0,0,,ODI v England,Southampton,6 Sep 2011,60.0,85.9,28.0
Combined Test,7,-,7,18,38.88,0,0,,ODI v England,The Oval,9 Sep 2011,57.9,60.7,15.3
Combined Test,16,-,16,36,44.44,1,0,,ODI v England,Lord's,11 Sep 2011,45.3,88.9,22.8
Combined Test,107,-,107,93,115.05,9,1,,ODI v England,Cardiff,16 Sep 2011,57.5,86.5,17.1
Combined Test,37,-,37,63,58.73,0,0,,ODI v England,Hyderabad,14 Oct 2011,80.6,71.3,8.1
Combined Test,112*,-,112,98,114.28,16,0,,ODI v England,Delhi,17 Oct 2011,77.9,49.0,8.5
Combined Test,35,-,35,30,116.66,5,0,,ODI v England,Mohali,20 Oct 2011,74.1,61.8,5.6
Combined Test,86*,-,86,99,86.86,11,0,,ODI v England,Wankhede,23 Oct 2011,N/A,N/A,N/A
Combined Test,0,-,0,5,0.00,0,0,,ODI v England,Eden Gardens,25 Oct 2011,80.7,82.9,12.1
Combined Test,15,-,15,16,93.75,3,0,,T20I v England,Eden Gardens,29 Oct 2011,81.3,85.0,15.2
Combined Test,52,63,115,225,51.11,8,1,,Test v West Indies,Wankhede,22 Nov 2011,N/A,N/A,N/A
Combined Test,3,-,3,6,50.00,0,0,,ODI v West Indies,Cuttack,29 Nov 2011,73.8,73.4,7.6
Combined Test,117,-,117,123,95.12,14,0,,ODI v West Indies,Visakhapatnam,2 Dec 2011,80.0,73.9,9.4
Combined Test,20,-,20,30,66.66,3,0,,ODI v West Indies,Ahmedabad,5 Dec 2011,80.8,60.2,4.7
Combined Test,23*,-,23,11,209.09,3,0,,ODI v West Indies,Indore,8 Dec 2011,73.9,52.1,11.4
Combined Test,80,-,80,85,94.11,5,0,,ODI v West Indies,Chennai,11 Dec 2011,80.0,82.6,12.1
Combined Test,11,0,11,22,50.00,1,0,,Test v Australia,Melbourne,26 Dec 2011,63.7,79.7,18.1
Combined Test,23,9,32,65,49.23,5,0,,Test v Australia,Sydney,3 Jan 2012,75.4,62.0,24.8
Combined Test,44,75,119,217,54.83,15,0,,Test v Australia,Perth,13 Jan 2012,85.0,42.4,18.5
Combined Test,116,22,138,275,50.18,13,1,,Test v Australia,Adelaide,24 Jan 2012,82.8,39.2,19.5
Combined Test,22,-,22,21,104.76,0,1,,T20I v Australia,Sydney,1 Feb 2012,67.1,80.6,22.1
Combined Test,31,-,31,24,129.16,3,0,,T20I v Australia,Melbourne,3 Feb 2012,67.0,67.5,13.7
Combined Test,31,-,31,34,91.17,3,0,,ODI v Australia,Melbourne,5 Feb 2012,74.8,43.6,37.7
Combined Test,77,-,77,94,81.91,8,1,,ODI v Sri Lanka,Perth,8 Feb 2012,80.1,36.1,22.9
Combined Test,18,-,18,28,64.28,1,0,,ODI v Australia,Adelaide,12 Feb 2012,63.7,62.2,18.3
Combined Test,15,-,15,25,60.00,1,0,,ODI v Sri Lanka,Adelaide,14 Feb 2012,77.9,36.3,12.8
Combined Test,12,-,12,25,48.00,0,0,,ODI v Australia,Brisbane,19 Feb 2012,77.6,77.9,12.6
Combined Test,66,-,66,83,79.51,2,0,,ODI v Sri Lanka,Brisbane,21 Feb 2012,77.7,82.0,13.7
Combined Test,21,-,21,27,77.77,2,0,,ODI v Australia,Sydney,26 Feb 2012,75.7,70.8,20.7
Combined Test,133*,-,133,86,154.65,16,2,,ODI v Sri Lanka,Hobart,28 Feb 2012,60.3,67.8,20.8
Combined Test,108,-,108,120,90.00,7,0,,ODI v Sri Lanka,Mirpur,13 Mar 2012,80.8,32.7,9.6
Combined Test,66,-,66,82,80.48,5,0,,ODI v Bangladesh,Mirpur,16 Mar 2012,77.4,33.8,12.1
Combined Test,183,-,183,148,123.64,22,1,,ODI v Pakistan,Mirpur,18 Mar 2012,80.2,36.9,7.2
Combined Test,DNB,-,-,-,-,-,-,,T20I v South Africa,Johannesburg,30 Mar 2012,63.0,82.8,10.5
Combined Test,106,-,106,113,93.80,9,0,,ODI v Sri Lanka,Hambantota,21 Jul 2012,83.0,81.4,19.9
Combined Test,1,-,1,5,20.00,0,0,,ODI v Sri Lanka,Hambantota,24 Jul 2012,82.7,81.2,20.6
Combined Test,38,-,38,65,58.46,2,0,,ODI v Sri Lanka,Colombo (RPS),28 Jul 2012,53.2,86.4,3.4
Combined Test,128*,-,128,119,107.56,12,1,,ODI v Sri Lanka,Colombo (RPS),31 Jul 2012,56.9,89.6,18.3
Combined Test,23,-,23,35,65.71,2,0,,ODI v Sri Lanka,Pallekele,4 Aug 2012,83.5,76.7,13.4
Combined Test,68,-,68,48,141.66,11,1,,T20I v Sri Lanka,Pallekele,7 Aug 2012,82.7,77.5,15.0
Combined Test,58,-,58,107,54.20,8,0,,Test v New Zealand,Hyderabad,23 Aug 2012,82.3,63.0,11.4
Combined Test,103,51*,154,275,56.00,23,1,,Test v New Zealand,Bengaluru,31 Aug 2012,72.7,77.9,18.3
Combined Test,70,-,70,41,170.73,10,1,,T20I v New Zealand,Chennai,11 Sep 2012,84.9,72.6,15.0
Combined Test,50,-,50,39,128.20,4,2,,T20I v Afghanistan,Colombo (RPS),19 Sep 2012,64.0,80.6,20.8
Combined Test,40,-,40,32,125.00,6,0,,T20I v England,Colombo (RPS),23 Sep 2012,56.3,74.2,4.5
Combined Test,15,-,15,13,115.38,2,0,,T20I v Australia,Colombo (RPS),28 Sep 2012,58.0,71.0,11.4
Combined Test,78*,-,78,61,127.86,8,2,,T20I v Pakistan,Colombo (RPS),30 Sep 2012,66.6,79.9,4.5
Combined Test,2,-,2,6,33.33,0,0,,T20I v South Africa,Colombo (RPS),2 Oct 2012,67.7,91.3,13.9
Combined Test,19,14*,33,88,37.50,6,0,,Test v England,Ahmedabad,15 Nov 2012,77.1,58.0,9.2
Combined Test,19,7,26,68,38.23,4,0,,Test v England,Wankhede,23 Nov 2012,N/A,N/A,N/A
Combined Test,6,20,26,84,30.95,4,0,,Test v England,Eden Gardens,5 Dec 2012,82.5,76.8,19.0
Combined Test,103,-,103,295,34.91,11,0,,Test v England,Nagpur,13 Dec 2012,74.0,65.7,6.3
Combined Test,21,-,21,17,123.52,2,0,,T20I v England,Pune,20 Dec 2012,67.1,52.4,13.9
Combined Test,38,-,38,20,190.00,7,0,,T20I v England,Wankhede,22 Dec 2012,N/A,N/A,N/A
Combined Test,9,-,9,11,81.81,1,0,,T20I v Pakistan,Bengaluru,25 Dec 2012,71.0,70.5,8.1
Combined Test,27,-,27,22,122.72,3,0,,T20I v Pakistan,Ahmedabad,28 Dec 2012,67.3,50.3,9.2
Combined Test,0,-,0,5,0.00,0,0,,ODI v Pakistan,Chennai,30 Dec 2012,80.6,87.5,11.4
Combined Test,6,-,6,9,66.66,1,0,,ODI v Pakistan,Eden Gardens,3 Jan 2013,82.0,74.8,9.2
Combined Test,7,-,7,17,41.17,1,0,,ODI v Pakistan,Delhi,6 Jan 2013,43.4,95.0,7.4
Combined Test,15,-,15,22,68.18,1,0,,ODI v England,Rajkot,11 Jan 2013,71.5,29.1,9.4
Combined Test,37,-,37,54,68.51,1,1,,ODI v England,Kochi,15 Jan 2013,79.6,66.4,9.2
Combined Test,77*,-,77,79,97.46,9,2,,ODI v England,Ranchi,19 Jan 2013,67.2,68.3,9.2
Combined Test,26,-,26,33,78.78,3,0,,ODI v England,Mohali,23 Jan 2013,52.3,54.9,8.5
