Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,,Opposition,Ground,Start Date,
TG Southee,4.0,0,38,1,9.50,38.00,24.0,,T20I v England,Auckland,5 Feb 2008,T20I # 53
TG Southee,4.0,0,22,2,5.50,11.00,12.0,,T20I v England,Christchurch,7 Feb 2008,T20I # 54
TG Southee,47.1,13,139,5,2.94,27.80,56.6,,Test v England,Napier,22 Mar 2008,Test # 1868
TG Southee,16.0,2,59,0,3.68,-,-,,Test v England,Lord's,15 May 2008,Test # 1874
TG Southee,10.0,1,68,1,6.80,68.00,60.0,,ODI v England,Chester-le-Street,15 Jun 2008,ODI # 2708
TG Southee,5.0,0,35,2,7.00,17.50,15.0,,ODI v England,Birmingham,18 Jun 2008,ODI # 2709
TG Southee,10.0,2,38,4,3.80,9.50,15.0,,ODI v England,Bristol,21 Jun 2008,ODI # 2710
TG Southee,10.0,1,47,3,4.70,15.66,20.0,,ODI v England,The Oval,25 Jun 2008,ODI # 2714
TG Southee,9.0,0,49,3,5.44,16.33,18.0,,ODI v England,Lord's,28 Jun 2008,ODI # 2720
TG Southee,6.0,0,22,3,3.66,7.33,12.0,,ODI v Ireland,Aberdeen,1 Jul 2008,ODI # 2727
TG Southee,4.0,0,12,0,3.00,-,-,,ODI v Scotland,Aberdeen,3 Jul 2008,ODI # 2731
TG Southee,9.0,0,41,0,4.55,-,-,,ODI v Bangladesh,Mirpur,9 Oct 2008,ODI # 2763
TG Southee,9.0,0,33,1,3.66,33.00,54.0,,ODI v Bangladesh,Mirpur,11 Oct 2008,ODI # 2764
TG Southee,10.0,0,40,1,4.00,40.00,60.0,,ODI v Bangladesh,Chattogram,14 Oct 2008,ODI # 2765
TG Southee,34.2,8,125,5,3.64,25.00,41.2,,Test v Australia,Brisbane,20 Nov 2008,Test # 1894
TG Southee,27.0,1,100,0,3.70,-,-,,Test v Australia,Adelaide,28 Nov 2008,Test # 1896
TG Southee,4.0,0,39,1,9.75,39.00,24.0,,T20I v West Indies,Auckland,26 Dec 2008,T20I # 78
TG Southee,4.0,0,44,1,11.00,44.00,24.0,,T20I v West Indies,Hamilton,28 Dec 2008,T20I # 79
TG Southee,7.4,0,33,2,4.30,16.50,23.0,,ODI v West Indies,Queenstown,31 Dec 2008,ODI # 2786
TG Southee,5.5,1,38,1,6.51,38.00,35.0,,ODI v West Indies,Christchurch,3 Jan 2009,ODI # 2787
TG Southee,10.0,2,36,2,3.60,18.00,30.0,,ODI v West Indies,Wellington,7 Jan 2009,ODI # 2788
TG Southee,0.3,0,10,0,20.00,-,-,,ODI v West Indies,Auckland,10 Jan 2009,ODI # 2789
TG Southee,10.0,0,63,0,6.30,-,-,,ODI v West Indies,Napier,13 Jan 2009,ODI # 2792
TG Southee,10.0,0,34,1,3.40,34.00,60.0,,ODI v Australia,Perth,1 Feb 2009,ODI # 2811
